"id","code_insee","code_postal","ville"
382,"01412","01400","SULIGNAT"
383,"01413","01420","SURJOUX"
384,"01414","01260","SUTRIEU"
385,"01415","01510","TALISSIEU"
386,"01416","01230","TENAY"
387,"01417","01110","THEZILLIEU"
388,"01418","01120","THIL"
389,"01419","01710","THOIRY"
390,"01420","01140","THOISSEY"
391,"01421","01230","TORCIEU"
392,"01422","01250","TOSSIAT"
393,"01423","01600","TOUSSIEUX"
394,"01424","01390","TRAMOYES"
395,"01425","01160","LA TRANCLIERE"
396,"01426","01370","TREFFORT CUISIAT"
397,"01427","01600","TREVOUX"
398,"01428","01140","VALEINS"
399,"01429","01660","VANDEINS"
400,"01430","01160","VARAMBON"
401,"01431","01150","VAUX EN BUGEY"
402,"01432","01270","VERJON"
403,"01433","01560","VERNOUX"
404,"01434","01330","VERSAILLEUX"
405,"01435","01210","VERSONNEX"
406,"01436","01170","VESANCY"
407,"01437","01560","VESCOURS"
408,"01439","01570","VESINES"
409,"01441","01430","VIEU D IZENAVE"
410,"01442","01260","VIEU"
411,"01443","01330","VILLARS LES DOMBES"
412,"01444","01150","VILLEBOIS"
413,"01445","01270","VILLEMOTIER"
414,"01446","01480","VILLENEUVE"
415,"01447","01250","VILLEREVERSURE"
416,"01448","01200","VILLES"
417,"01449","01320","VILLETTE SUR AIN"
418,"01450","01800","VILLIEU LOYES MOLLON"
419,"01451","01440","VIRIAT"
420,"01452","01510","VIRIEU LE GRAND"
421,"01453","01260","VIRIEU LE PETIT"
422,"01454","01300","VIRIGNIN"
423,"01456","01350","VONGNES"
424,"01457","01540","VONNAS"
425,"02001","02300","ABBECOURT"
426,"02002","02800","ACHERY"
427,"02003","02200","ACY"
428,"02004","02340","AGNICOURT ET SECHELLES"
429,"02005","02190","AGUILCOURT"
430,"02006","02110","AISONVILLE ET BERNOVILLE"
431,"02007","02820","AIZELLES"
432,"02008","02370","AIZY JOUY"
433,"02009","02240","ALAINCOURT"
434,"02010","02320","ALLEMANT"
435,"02011","02290","AMBLENY"
436,"02012","02200","AMBRIEF"
437,"02013","02190","AMIFONTAINE"
438,"02014","02700","AMIGNY ROUY"
439,"02015","02600","ANCIENVILLE"
440,"02016","02800","ANDELAIN"
441,"02017","02800","ANGUILCOURT LE SART"
442,"02018","02320","ANIZY LE CHATEAU"
443,"02019","02480","ANNOIS"
444,"02020","02500","ANY MARTIN RIEUX"
